ts,status,currentCoord,speed,orientation
0,1,"[0.0, 1.25]",0,N
0.05,1,"[0.0, 1.25]",0,N
0.1,1,"[0.0, 1.25]",0,N
0.15,1,"[0.0, 1.25]",0,N
0.2,1,"[0.0, 1.25]",0,N
0.25,1,"[0.0, 1.25]",0,N
0.3,1,"[0.0, 1.25]",0,N
0.35,1,"[0.0, 1.25]",0,N
0.4,1,"[0.0, 1.25]",0,N
0.45,1,"[0.0, 1.25]",0,N
0.5,1,"[0.0, 1.25]",0,N
0.55,1,"[0.0, 1.25]",0,N
0.6,1,"[0.0, 1.25]",0,N
0.65,1,"[0.0, 1.25]",0,N
0.7,1,"[0.0, 1.25]",0,N
0.75,1,"[0.0, 1.25]",0,N
0.8,1,"[0.0, 1.25]",0,N
0.85,1,"[0.0, 1.25]",0,N
0.9,1,"[0.0, 1.25]",0,N
0.95,1,"[0.0, 1.25]",0,N
1.0,1,"[0.0, 1.25]",0,N
1.05,1,"[0.0, 1.25]",0,N
1.1,1,"[0.0, 1.25]",0,N
1.15,1,"[0.0, 1.25]",0,N
1.2,1,"[0.0, 1.25]",0,N
1.25,1,"[0.0, 1.25]",0,N
1.3,1,"[0.0, 1.25]",0,N
1.35,1,"[0.0, 1.25]",0,N
1.4,1,"[0.0, 1.25]",0,N
1.45,1,"[0.0, 1.25]",0,N
1.5,1,"[0.0, 1.25]",0,N
1.55,1,"[0.0, 1.25]",0,N
1.6,1,"[0.0, 1.25]",0,N
1.65,1,"[0.0, 1.25]",0,N
1.7,1,"[0.0, 1.25]",0,N
1.75,1,"[0.0, 1.25]",0,N
1.8,1,"[0.0, 1.25]",0,N
1.85,1,"[0.0, 1.25]",0,N
1.9,1,"[0.0, 1.25]",0,N
1.95,1,"[0.0, 1.25]",0,N
2.0,1,"[0.0, 1.25]",0,N
2.05,1,"[0.0, 1.25]",0,N
2.1,1,"[0.0, 1.25]",0,N
2.15,1,"[0.0, 1.25]",0,N
2.2,1,"[0.0, 1.25]",0,N
2.25,1,"[0.0, 1.25]",0,N
2.3,1,"[0.0, 1.25]",0,N
2.35,1,"[0.0, 1.25]",0,N
2.4,1,"[0.0, 1.25]",0,N
2.45,1,"[0.0, 1.25]",0,N
2.5,1,"[0.0, 1.25]",0,N
2.55,1,"[0.0, 1.25]",0,N
2.6,1,"[0.0, 1.25]",0,N
2.65,1,"[0.0, 1.25]",0,N
2.7,1,"[0.0, 1.25]",0,N
2.75,1,"[0.0, 1.25]",0,N
2.8,1,"[0.0, 1.25]",0,N
2.85,1,"[0.0, 1.25]",0,N
2.9,1,"[0.0, 1.25]",0,N
2.95,1,"[0.0, 1.25]",0,N
3.0,1,"[0.0, 1.25]",0,N
3.05,1,"[0.0, 1.25]",0,N
3.1,1,"[0.0, 1.25]",0,N
3.15,1,"[0.0, 1.25]",0,N
3.2,1,"[0.0, 1.25]",0,N
3.25,1,"[0.0, 1.25]",0,N
3.3,1,"[0.0, 1.25]",0,N
3.35,1,"[0.0, 1.25]",0,N
3.4,1,"[0.0, 1.25]",0,N
3.45,1,"[0.0, 1.25]",0,N
3.5,1,"[0.0, 1.25]",0,N
3.55,1,"[0.0, 1.25]",0,N
3.6,1,"[0.0, 1.25]",0,N
3.65,1,"[0.0, 1.25]",0,N
3.7,1,"[0.0, 1.25]",0,N
3.75,1,"[0.0, 1.25]",0,N
3.8,1,"[0.0, 1.25]",0,N
3.85,1,"[0.0, 1.25]",0,N
3.9,1,"[0.0, 1.25]",0,N
3.95,1,"[0.0, 1.25]",0,N
4.0,1,"[0.0, 1.25]",0,N
4.05,1,"[0.0, 1.25]",0,N
4.1,1,"[0.0, 1.25]",0,N
4.15,1,"[0.0, 1.25]",0,N
4.2,1,"[0.0, 1.25]",0,N
4.25,1,"[0.0, 1.25]",0,N
4.3,1,"[0.0, 1.25]",0,N
4.35,1,"[0.0, 1.25]",0,N
4.4,1,"[0.0, 1.25]",0,N
4.45,1,"[0.0, 1.25]",0,N
4.5,1,"[0.0, 1.25]",0,N
4.55,2,"[0.0, 1.25]",0,N
4.6,3,"[0.0, 1.25]",0,N
4.65,4,"[0.0, 1.25]",0,N
4.7,4,"[0.0, 1.25]",0,N
4.75,4,"[0.0, 1.25]",0,N
4.8,4,"[0.0, 1.25]",0,N
4.85,4,"[0.0, 1.25]",0,N
4.9,4,"[0.0, 1.25]",0,N
4.95,4,"[0.0, 1.25]",0,N
5.0,4,"[0.0, 1.25]",0,N
5.05,4,"[0.0, 1.25]",0,N
5.1,4,"[0.0, 1.25]",0,N
5.15,4,"[0.00375, 1.25]",0.075,E
5.2,4,"[0.01125, 1.25]",0.15,E
5.25,4,"[0.0225, 1.25]",0.225,E
5.3,4,"[0.0375, 1.25]",0.3,E
5.35,4,"[0.05625, 1.25]",0.375,E
5.4,4,"[0.07875, 1.25]",0.45,E
5.45,4,"[0.10500000000000001, 1.25]",0.525,E
5.5,4,"[0.135, 1.25]",0.6,E
5.55,4,"[0.16875, 1.25]",0.675,E
5.6,4,"[0.20625000000000002, 1.25]",0.75,E
5.65,4,"[0.25, 1.25]",0.825,E
5.7,4,"[0.295, 1.25]",0.9,E
5.75,4,"[0.34375, 1.25]",0.975,E
5.8,4,"[0.39625, 1.25]",1.05,E
5.85,4,"[0.445, 1.25]",0.975,E
5.9,4,"[0.5, 1.25]",0.9,E
5.95,4,"[0.54125, 1.25]",0.825,E
6.0,4,"[0.57875, 1.25]",0.75,E
6.05,4,"[0.6125, 1.25]",0.675,E
6.1,4,"[0.6425000000000001, 1.25]",0.6,E
6.15,4,"[0.6687500000000001, 1.25]",0.525,E
6.2,4,"[0.69125, 1.25]",0.45,E
6.25,4,"[0.7100000000000001, 1.25]",0.375,E
6.3,4,"[0.7250000000000001, 1.25]",0.3,E
