ts,status,currentCoord,speed,orientation
0,1,"[1.0, 1.25]",0,N
0.05,1,"[1.0, 1.25]",0,N
0.1,1,"[1.0, 1.25]",0,N
0.15,1,"[1.0, 1.25]",0,N
0.2,1,"[1.0, 1.25]",0,N
0.25,1,"[1.0, 1.25]",0,N
0.3,1,"[1.0, 1.25]",0,N
0.35,1,"[1.0, 1.25]",0,N
0.4,1,"[1.0, 1.25]",0,N
0.45,1,"[1.0, 1.25]",0,N
0.5,1,"[1.0, 1.25]",0,N
0.55,1,"[1.0, 1.25]",0,N
0.6,1,"[1.0, 1.25]",0,N
0.65,1,"[1.0, 1.25]",0,N
0.7,1,"[1.0, 1.25]",0,N
0.75,1,"[1.0, 1.25]",0,N
0.8,1,"[1.0, 1.25]",0,N
0.85,1,"[1.0, 1.25]",0,N
0.9,1,"[1.0, 1.25]",0,N
0.95,1,"[1.0, 1.25]",0,N
1.0,1,"[1.0, 1.25]",0,N
1.05,1,"[1.0, 1.25]",0,N
1.1,1,"[1.0, 1.25]",0,N
1.15,1,"[1.0, 1.25]",0,N
1.2,1,"[1.0, 1.25]",0,N
1.25,1,"[1.0, 1.25]",0,N
1.3,1,"[1.0, 1.25]",0,N
1.35,1,"[1.0, 1.25]",0,N
1.4,1,"[1.0, 1.25]",0,N
1.45,1,"[1.0, 1.25]",0,N
1.5,1,"[1.0, 1.25]",0,N
1.55,1,"[1.0, 1.25]",0,N
1.6,1,"[1.0, 1.25]",0,N
1.65,1,"[1.0, 1.25]",0,N
1.7,1,"[1.0, 1.25]",0,N
1.75,1,"[1.0, 1.25]",0,N
1.8,1,"[1.0, 1.25]",0,N
1.85,1,"[1.0, 1.25]",0,N
1.9,1,"[1.0, 1.25]",0,N
1.95,1,"[1.0, 1.25]",0,N
2.0,1,"[1.0, 1.25]",0,N
2.05,1,"[1.0, 1.25]",0,N
2.1,1,"[1.0, 1.25]",0,N
2.15,1,"[1.0, 1.25]",0,N
2.2,1,"[1.0, 1.25]",0,N
2.25,1,"[1.0, 1.25]",0,N
2.3,1,"[1.0, 1.25]",0,N
2.35,1,"[1.0, 1.25]",0,N
2.4,1,"[1.0, 1.25]",0,N
2.45,1,"[1.0, 1.25]",0,N
2.5,1,"[1.0, 1.25]",0,N
2.55,1,"[1.0, 1.25]",0,N
2.6,1,"[1.0, 1.25]",0,N
2.65,1,"[1.0, 1.25]",0,N
2.7,1,"[1.0, 1.25]",0,N
2.75,1,"[1.0, 1.25]",0,N
2.8,1,"[1.0, 1.25]",0,N
2.85,1,"[1.0, 1.25]",0,N
2.9,1,"[1.0, 1.25]",0,N
2.95,1,"[1.0, 1.25]",0,N
3.0,1,"[1.0, 1.25]",0,N
3.05,1,"[1.0, 1.25]",0,N
3.1,1,"[1.0, 1.25]",0,N
3.15,1,"[1.0, 1.25]",0,N
3.2,1,"[1.0, 1.25]",0,N
3.25,1,"[1.0, 1.25]",0,N
3.3,1,"[1.0, 1.25]",0,N
3.35,1,"[1.0, 1.25]",0,N
3.4,1,"[1.0, 1.25]",0,N
3.45,1,"[1.0, 1.25]",0,N
3.5,1,"[1.0, 1.25]",0,N
3.55,1,"[1.0, 1.25]",0,N
3.6,1,"[1.0, 1.25]",0,N
3.65,1,"[1.0, 1.25]",0,N
3.7,1,"[1.0, 1.25]",0,N
3.75,1,"[1.0, 1.25]",0,N
3.8,1,"[1.0, 1.25]",0,N
3.85,1,"[1.0, 1.25]",0,N
3.9,1,"[1.0, 1.25]",0,N
3.95,1,"[1.0, 1.25]",0,N
4.0,1,"[1.0, 1.25]",0,N
4.05,2,"[1.0, 1.25]",0,N
4.1,3,"[1.0, 1.25]",0,N
4.15,4,"[1.0, 1.25]",0,N
4.2,4,"[1.0, 1.25]",0,N
4.25,4,"[1.0, 1.25]",0,N
4.3,4,"[1.0, 1.25]",0,N
4.35,4,"[1.0, 1.25]",0,N
4.4,4,"[1.0, 1.25]",0,N
4.45,4,"[1.0, 1.25]",0,N
4.5,4,"[1.0, 1.25]",0,N
4.55,4,"[1.0, 1.25]",0,N
4.6,4,"[1.0, 1.25]",0,N
4.65,4,"[1.00375, 1.25]",0.075,E
4.7,4,"[1.01125, 1.25]",0.15,E
4.75,4,"[1.0225, 1.25]",0.225,E
4.8,4,"[1.0374999999999999, 1.25]",0.3,E
4.85,4,"[1.05625, 1.25]",0.375,E
4.9,4,"[1.0787499999999999, 1.25]",0.45,E
4.95,4,"[1.105, 1.25]",0.525,E
5.0,4,"[1.135, 1.25]",0.6,E
5.05,4,"[1.16875, 1.25]",0.675,E
5.1,4,"[1.20625, 1.25]",0.75,E
5.15,4,"[1.25, 1.25]",0.825,E
5.2,4,"[1.295, 1.25]",0.9,E
5.25,4,"[1.34375, 1.25]",0.975,E
5.3,4,"[1.39625, 1.25]",1.05,E
5.35,4,"[1.445, 1.25]",0.975,E
5.4,4,"[1.5, 1.25]",0.9,E
5.45,4,"[1.54125, 1.25]",0.825,E
5.5,4,"[1.57875, 1.25]",0.75,E
5.55,4,"[1.6125, 1.25]",0.675,E
5.6,4,"[1.6425, 1.25]",0.6,E
5.65,4,"[1.6687500000000002, 1.25]",0.525,E
5.7,4,"[1.6912500000000001, 1.25]",0.45,E
5.75,4,"[1.7100000000000002, 1.25]",0.375,E
5.8,4,"[1.725, 1.25]",0.3,E
5.85,4,"[1.73625, 1.25]",0.225,E
5.9,4,"[1.75, 1.25]",0,E
5.95,4,"[1.75, 1.25]",0,E
6.0,4,"[1.75, 1.25]",0,E
6.05,4,"[1.75, 1.25]",0,E
6.1,4,"[1.75, 1.25]",0,E
6.15,4,"[1.75, 1.25]",0,E
6.2,4,"[1.75, 1.25]",0,E
6.25,4,"[1.75, 1.25]",0,E
6.3,4,"[1.75, 1.25]",0,E
6.35,4,"[1.75, 1.25]",0,E
6.4,4,"[1.75, 1.25]",0,E
6.45,4,"[1.75, 1.25]",0,S
6.5,4,"[1.75, 1.24625]",0.075,S
6.55,4,"[1.75, 1.23875]",0.15,S
6.6,4,"[1.75, 1.2275]",0.225,S
6.65,4,"[1.75, 1.2125000000000001]",0.3,S
6.7,4,"[1.75, 1.19375]",0.375,S
6.75,4,"[1.75, 1.1712500000000001]",0.45,S
6.8,4,"[1.75, 1.145]",0.525,S
6.85,4,"[1.75, 1.115]",0.6,S
6.9,4,"[1.75, 1.08125]",0.675,S
6.95,4,"[1.75, 1.04375]",0.75,S
7.0,4,"[1.75, 1.0]",0.825,S
7.05,4,"[1.75, 0.9625]",0.75,S
7.1,4,"[1.75, 0.92875]",0.675,S
7.15,4,"[1.75, 0.89125]",0.75,S
7.2,4,"[1.75, 0.8574999999999999]",0.675,S
7.25,4,"[1.75, 0.8274999999999999]",0.6,S
7.3,4,"[1.75, 0.8012499999999999]",0.525,S
7.35,4,"[1.75, 0.7787499999999999]",0.45,S
7.4,4,"[1.75, 0.75]",0,S
7.45,4,"[1.75, 0.75]",0,S
7.5,4,"[1.75, 0.75]",0,S
7.55,4,"[1.75, 0.75]",0,S
7.6,4,"[1.75, 0.75]",0,S
7.65,4,"[1.75, 0.75]",0,S
7.7,4,"[1.75, 0.75]",0,S
7.75,4,"[1.75, 0.75]",0,S
7.8,4,"[1.75, 0.75]",0,S
7.85,4,"[1.75, 0.75]",0,S
7.9,4,"[1.75, 0.75]",0,S
7.95,4,"[1.75, 0.75]",0,E
8.0,4,"[1.75375, 0.75]",0.075,E
8.05,4,"[1.76125, 0.75]",0.15,E
8.1,4,"[1.7725, 0.75]",0.225,E
8.15,4,"[1.7874999999999999, 0.75]",0.3,E
8.2,4,"[1.80625, 0.75]",0.375,E
8.25,4,"[1.8287499999999999, 0.75]",0.45,E
8.3,4,"[1.855, 0.75]",0.525,E
8.35,4,"[1.885, 0.75]",0.6,E
8.4,4,"[1.91875, 0.75]",0.675,E
8.45,4,"[1.95625, 0.75]",0.75,E
8.5,4,"[2.0, 0.75]",0.825,E
8.55,4,"[2.045, 0.75]",0.9,E
8.6,4,"[2.09, 0.75]",0.9,E
