,time,pickup,dropoff
529,0.0,46,4
563,0.0,48,2
528,0.0,41,4
440,0.0,50,6
324,0.0,36,3
326,0.0,53,3
569,0.0,46,2
552,0.0,17,11
657,0.0,9,1
568,0.0,27,2
662,0.0,47,1
597,0.0,66,12
655,0.0,64,1
664,0.0,52,1
546,0.0,64,7
329,0.0,27,3
472,0.0,59,16
86,0.0,24,5
663,0.0,28,1
565,0.0,51,2
85,0.0,33,5
330,0.0,4,3
574,0.0,66,15
532,0.0,33,4
439,0.0,55,6
254,0.0,31,10
683,0.0,62,13
5,0.0,53,9
84,0.0,6,5
263,0.0,8,10
262,0.0,48,10
80,0.0,59,5
527,0.0,38,4
8,0.0,66,8
78,0.0,57,5
2,0.0,23,9
432,0.0,54,6
773,0.0,63,14
560,0.0,64,2
661,0.0,52,1
681,11.67012522,65,29
476,11.69874776,52,16
83,11.85474061,47,5
888,12.0,64,23
924,12.10232558,64,27
299,12.49516995,62,17
383,12.60465116,66,20
264,12.61681574,55,10
471,13.21717352,39,16
530,13.60572451,49,4
561,13.65796064,55,2
437,13.66583184,38,6
3,13.73023256,40,9
449,13.75527728,65,30
708,13.78676208,66,22
433,14.0529517,38,6
478,14.12379249,23,16
558,14.16529517,43,11
555,14.16744186,9,11
566,14.17173524,2,2
328,14.30053667,36,3
554,14.54955277,39,11
570,14.63542039,65,15
81,14.95813953,24,5
197,15.39892665,63,25
491,15.44186047,62,18
338,15.44400716,58,26
256,15.45974955,5,10
658,15.47191413,57,1
382,15.71592129,65,20
63,15.78103757,48,19
150,15.90840787,61,28
436,16.07298748,16,6
414,16.18461538,61,21
656,16.27191413,19,1
564,16.33774597,57,2
325,16.38640429,26,3
805,16.59677996,65,24
477,16.85008945,20,16
479,16.85867621,6,16
615,22.68121646,64,37
171,24.71127013,62,31
259,24.95599284,49,10
255,25.00250447,47,10
261,25.02969589,35,10
187,25.24436494,63,47
533,25.32665474,49,4
460,25.96708408,59,48
551,26.53023256,24,11
101,26.76708408,59,40
249,26.79284436,65,34
553,26.83220036,9,11
257,27.39749553,1,10
345,27.51484794,59,41
7,27.8332737,7,9
470,27.92987478,44,16
177,28.17245081,64,31
232,28.41860465,64,33
79,28.68479428,20,5
557,28.69338104,41,11
526,29.05545617,24,4
782,29.19427549,65,32
6,29.41538462,41,9
790,29.47978533,43,32
260,29.52200358,11,10
504,29.88908766,61,38
158,29.96064401,61,43
435,30.41431127,22,6
758,30.50375671,63,36
365,31.13202147,64,35
879,31.20930233,60,49
126,31.509839,63,44
537,31.63649374,49,39
475,31.76386404,13,16
199,32.10161002,61,25
891,32.11663685,55,23
498,32.56529517,65,38
290,32.57602862,63,42
659,32.69123435,6,1
618,33.92772809,60,37
562,35.58783542,30,2
519,35.95706619,54,59
434,37.18568873,27,6
92,37.45545617,62,52
45,37.56493739,60,50
438,38.16243292,42,6
350,38.19821109,57,41
4,38.65187835,23,9
559,38.71699463,8,11
327,39.35384615,44,3
674,39.47191413,64,55
778,40.3921288,58,14
82,40.51520572,4,5
809,40.53166369,43,51
77,40.91019678,11,5
660,41.04973166,3,1
218,41.1627907,66,62
895,41.2450805,61,23
480,41.32307692,60,18
721,41.37960644,63,56
366,41.909839,58,35
613,41.91055456,66,57
285,42.73488372,61,42
473,42.84722719,15,16
611,43.04543828,51,57
525,43.15706619,59,59
276,43.38890877,64,61
678,43.47048301,50,29
821,44.26833631,58,58
511,45.14490161,59,53
686,45.44758497,63,13
44,45.70948122,61,50
547,46.22182469,65,7
