,time,pickup,dropoff
0,0.0,46,4
1,0.0,48,2
2,0.0,41,4
3,0.0,50,6
4,0.0,36,3
5,0.0,53,3
6,0.0,46,2
7,0.0,17,11
8,0.0,9,1
9,0.0,27,2
10,0.0,47,1
11,0.0,66,12
12,0.0,64,1
13,0.0,52,1
14,0.0,64,7
15,0.0,27,3
16,0.0,59,16
17,0.0,24,5
18,0.0,28,1
19,0.0,51,2
20,0.0,33,5
21,0.0,4,3
22,0.0,66,15
23,0.0,33,4
24,0.0,55,6
25,0.0,31,10
26,0.0,62,13
27,0.0,53,9
28,0.0,6,5
29,0.0,8,10
30,0.0,48,10
31,0.0,59,5
32,0.0,38,4
33,0.0,66,8
34,0.0,57,5
35,0.0,23,9
36,0.0,54,6
37,0.0,63,14
38,0.0,64,2
39,0.0,52,1
40,11.67012522,65,29
41,11.69874776,52,16
42,11.85474061,47,5
43,12.0,64,23
44,12.10232558,64,27
45,12.49516995,62,17
46,12.60465116,66,20
47,12.61681574,55,10
48,13.21717352,39,16
49,13.60572451,49,4
50,13.65796064,55,2
51,13.66583184,38,6
52,13.73023256,40,9
53,13.75527728,65,30
54,13.78676208,66,22
55,14.0529517,38,6
56,14.12379249,23,16
57,14.16529517,43,11
58,14.16744186,9,11
59,14.17173524,2,2
60,14.30053667,36,3
61,14.54955277,39,11
62,14.63542039,65,15
63,14.95813953,24,5
64,15.39892665,63,25
65,15.44186047,62,18
66,15.44400716,58,26
67,15.45974955,5,10
68,15.47191413,57,1
69,15.71592129,65,20
70,15.78103757,48,19
71,15.90840787,61,28
72,16.07298748,16,6
73,16.18461538,61,21
74,16.27191413,19,1
75,16.33774597,57,2
76,16.38640429,26,3
77,16.59677996,65,24
78,16.85008945,20,16
79,16.85867621,6,16
80,22.68121646,64,37
81,24.71127013,62,31
82,24.95599284,49,10
83,25.00250447,47,10
84,25.02969589,35,10
85,25.24436494,63,47
86,25.32665474,49,4
87,25.96708408,59,48
88,26.53023256,24,11
89,26.76708408,59,40
90,26.79284436,65,34
91,26.83220036,9,11
92,27.39749553,1,10
93,27.51484794,59,41
94,27.8332737,7,9
95,27.92987478,44,16
96,28.17245081,64,31
97,28.41860465,64,33
98,28.68479428,20,5
99,28.69338104,41,11
100,29.05545617,24,4
101,29.19427549,65,32
102,29.41538462,41,9
103,29.47978533,43,32
104,29.52200358,11,10
105,29.88908766,61,38
106,29.96064401,61,43
107,30.41431127,22,6
108,30.50375671,63,36
109,31.13202147,64,35
110,31.20930233,60,49
111,31.509839,63,44
112,31.63649374,49,39
113,31.76386404,13,16
114,32.10161002,61,25
115,32.11663685,55,23
116,32.56529517,65,38
117,32.57602862,63,42
118,32.69123435,6,1
119,33.92772809,60,37
120,35.58783542,30,2
121,35.95706619,54,59
122,37.18568873,27,6
123,37.45545617,62,52
124,37.56493739,60,50
125,38.16243292,42,6
126,38.19821109,57,41
127,38.65187835,23,9
128,38.71699463,8,11
129,39.35384615,44,3
130,39.47191413,64,55
131,40.3921288,58,14
132,40.51520572,4,5
133,40.53166369,43,51
134,40.91019678,11,5
135,41.04973166,3,1
136,41.1627907,66,62
137,41.2450805,61,23
138,41.32307692,60,18
139,41.37960644,63,56
140,41.909839,58,35
141,41.91055456,66,57
142,42.73488372,61,42
143,42.84722719,15,16
144,43.04543828,51,57
145,43.15706619,59,59
146,43.38890877,64,61
147,43.47048301,50,29
148,44.26833631,58,58
149,45.14490161,59,53
150,45.44758497,63,13
151,45.70948122,61,50
152,46.22182469,65,7
153,46.37352415,64,61
154,46.50089445,63,42
155,46.6039356,51,15
156,46.70268336,61,22
157,47.84686941,48,54
