batchNo,orderNo,time,pickup,dropoff
1,3,22.54168157,70,3
1,3,1534.395349,15,3
1,3,1269.395349,59,3
1,3,833.9302326,58,3
1,3,1319.395349,49,3
1,3,1806.199642,49,3
1,3,23.5921288,39,3
1,3,1019.395349,79,3
1,6,1705.588193,10,67
1,6,1444.395349,34,67
1,6,1810.363864,74,67
1,6,1880.769946,79,67
1,6,1793.979249,30,67
1,6,2069.549911,15,67
1,6,1990.119499,23,67
1,15,1309.860465,64,33
1,15,1664.395349,32,33
1,15,1815.604651,78,33
1,15,1988.173166,49,33
1,15,1149.860465,9,33
1,15,1684.395349,11,33
1,15,1869.395349,40,33
1,15,1589.395349,38,33
1,15,1917.596422,58,33
1,15,1673.842576,79,33
1,15,1711.415742,43,33
1,15,1564.395349,25,33
1,15,1951.472987,15,33
1,19,1544.395349,20,39
1,19,1204.395349,63,39
1,19,1634.395349,53,39
1,19,1774.272272,60,39
1,19,1439.395349,64,39
1,19,1764.433631,32,39
1,32,1409.395349,20,77
1,32,1604.395349,21,77
1,32,1828.601789,51,77
1,32,1549.395349,45,77
1,32,1639.456887,14,77
1,32,1455.820751,70,77
1,32,1826.176386,73,77
1,32,1771.998569,26,77
1,32,1724.395349,36,77
1,32,1414.395349,22,77
1,32,1459.395349,80,77
1,32,1669.395349,26,77
1,76,1224.395349,43,49
1,76,1937.906261,41,49
1,76,1894.550984,76,49
1,76,1860.023256,2,49
1,76,1763.151699,8,49
1,76,1829.184615,21,49
1,76,1805.962791,29,49
1,76,1888.772451,74,49
1,76,1838.564937,59,49
1,113,1134.860465,3,29
1,113,1778.899821,36,29
1,113,1898.671556,16,29
1,113,1888.322719,33,29
1,113,1844.395349,58,29
1,113,1212.852236,62,29
1,113,1389.860465,6,29
1,113,1804.395349,78,29
1,113,1334.860465,4,29
1,113,1444.395349,66,29
1,113,1817.252952,19,29
1,113,1209.860465,9,29
1,113,1779.395349,30,29
1,116,1214.860465,11,4
1,116,43.62647585,41,4
1,116,39.87119857,19,4
1,116,825.3241503,74,4
1,116,792.247585,47,4
1,116,214.3953488,70,4
1,116,269.3953488,50,4
1,116,1124.395349,53,4
1,116,754.8604651,75,4
1,116,731.3924866,46,4
1,122,1439.860465,13,86
1,122,1649.395349,47,86
1,122,1763.949195,65,86
1,122,1925.449732,72,86
1,122,1711.408945,53,86
1,122,1499.395349,77,86
1,122,1451.255814,64,86
1,122,1624.395349,77,86
1,122,1815.423971,37,86
1,135,0,6,1003
1,135,1044.395349,42,1003
1,135,944.3953488,36,1003
1,135,1404.860465,72,1003
1,135,48.48944544,59,1003
1,135,1554.395349,1,1003
1,135,1174.395349,47,1003
1,135,619.8604651,27,1003
1,135,313.9302326,67,1003
1,135,533.9302326,65,1003
1,135,973.9302326,51,1003
1,135,518.9302326,59,1003
1,135,10.09302326,30,1003
1,135,0,48,1003
1,135,1054.395349,63,1003
1,135,714.3953488,40,1003
1,135,0,56,1003
1,135,864.8604651,10,1003
1,135,528.9302326,63,1003
1,135,1069.860465,21,1003
1,135,1369.395349,36,1003
1,135,858.9302326,62,1003
1,135,813.9302326,66,1003
1,135,569.8604651,3,1003
1,135,40.26118068,16,1003
1,135,43.37745975,32,1003
1,135,824.8604651,77,1003
1,135,29.73595707,48,1003
1,135,759.8604651,78,1003
1,135,0,46,1003
1,135,734,42,1003
1,135,59.62504472,47,1003
1,135,989.3953488,19,1003
1,135,25.92200358,1,1003
1,135,1004.395349,74,1003
1,135,24.19964222,9,1003
1,135,718.9302326,46,1003
1,135,12.74418605,76,1003
1,135,299.8604651,28,1003
1,135,1827.704472,75,1003
1,135,1665.60322,75,1003
1,135,1284.395349,34,1003
1,135,1324.860465,52,1003
1,135,1334.395349,22,1003
1,135,1049.395349,44,1003
1,135,1248.782469,71,1003
1,135,0,34,1003
1,135,498.9302326,69,1003
1,135,679.3953488,52,1003
1,135,638.9302326,59,1003
1,135,1089.395349,39,1003
1,135,363.9302326,69,1003
1,135,1449.395349,35,1003
1,135,472.1230769,54,1003
1,135,999.8604651,25,1003
1,135,809.8604651,71,1003
1,135,1634.395349,60,1003
1,135,1144.860465,8,1003
1,135,1319.395349,15,1003
1,135,50.58676208,1,1003
1,135,668.9302326,72,1003
1,135,0,57,1003
1,135,889.8604651,19,1003
1,135,1334.860465,57,1003
1,135,659.3953488,14,1003
1,135,1474.395349,72,1003
1,135,344.3953488,5,1003
1,135,31.62647585,51,1003
1,135,67.52915921,58,1003
1,135,31.15849732,5,1003
1,135,574.8604651,6,1003
1,135,424.3953488,17,1003
1,135,263.9302326,78,1003
1,135,493.9302326,67,1003
1,135,333.9302326,58,1003
1,135,53.90268336,32,1003
1,135,36.6783542,4,1003
1,135,11.36386404,78,1003
1,135,67.26797853,33,1003
1,135,748.9302326,57,1003
1,135,959.3953488,4,1003
1,135,93.93023256,8,1003
1,135,838.3774597,77,1003
1,135,764.8604651,80,1003
1,135,0,72,1003
1,135,159.8604651,8,1003
1,135,674.8604651,75,1003
1,135,26.41860465,35,1003
1,135,47.33094812,69,1003
1,135,414.8604651,12,1003
1,135,974.3953488,29,1003
1,135,1239.395349,50,1003
1,135,12.16815742,59,1003
1,135,409.3953488,7,1003
1,135,614.3953488,22,1003
1,135,749.8604651,73,1003
1,135,1324.400716,12,1003
1,135,1164.395349,45,1003
1,135,333.9302326,44,1003
1,135,1109.395349,48,1003
1,135,309.8604651,36,1003
1,135,518.9302326,49,1003
1,135,1349.395349,68,1003
1,135,504.3953488,33,1003
1,135,0,53,1003
1,135,694.3953488,32,1003
1,135,83.0940966,44,1003
1,135,449.8604651,38,1003
1,135,1179.860465,21,1003
1,135,789.3953488,9,1003
1,135,279.8604651,11,1003
1,135,629.8604651,35,1003
1,135,834.8604651,60,1003
1,135,37.62504472,30,1003
1,135,36.80143113,25,1003
1,135,139.8604651,71,1003
1,135,1079.395349,67,1003
1,135,254.8604651,71,1003
1,135,44.01359571,79,1003
1,135,1189.860465,30,1003
1,135,244.8604651,14,1003
1,135,224.8604651,5,1003
1,135,57.17352415,38,1003
1,135,1504.860465,60,1003
1,135,364.3953488,22,1003
1,135,373.9302326,73,1003
1,135,208.9302326,41,1003
1,135,1214.395349,39,1003
1,135,1179.860465,50,1003
1,135,1179.395349,53,1003
1,135,213.9302326,43,1003
1,135,24.21610018,54,1003
1,135,334.8604651,45,1003
1,135,714.3953488,44,1003
1,135,1394.395349,57,1003
1,135,364.8604651,24,1003
1,135,269.8604651,4,1003
1,135,739.8604651,70,1003
1,135,739.3953488,21,1003
1,135,743.9302326,55,1003
1,135,44.9137746,7,1003
1,135,938.9302326,75,1003
1,135,629.3953488,33,1003
1,135,238.9302326,64,1003
1,135,548.9302326,71,1003
1,135,1199.395349,34,1003
1,135,1424.395349,2,1003
1,135,1044.395349,57,1003
1,135,264.8604651,80,1003
1,135,249.3953488,25,1003
1,135,38.60322004,63,1003
1,135,1014.395349,77,1003
1,135,1139.395349,50,1003
1,135,534.8604651,7,1003
1,135,1714.395349,59,1003
1,135,68.18175313,45,1003
1,135,473.9302326,59,1003
1,135,344.8604651,8,1003
1,135,113.9302326,48,1003
1,135,68.83434705,15,1003
1,135,184.3953488,26,1003
1,135,248.9302326,68,1003
1,135,414.3953488,10,1003
1,135,623.9302326,54,1003
1,135,83.93023256,75,1003
1,135,749.3953488,60,1003
1,135,48.1667263,62,1003
1,135,39.90268336,67,1003
1,135,26.49516995,15,1003
1,135,784.8604651,7,1003
1,135,1084.395349,38,1003
1,135,1260.116279,76,1003
1,135,384.8604651,40,1003
1,135,0,52,1003
1,135,888.9302326,75,1003
1,135,288.9302326,57,1003
1,135,538.9302326,68,1003
1,135,1219.395349,59,1003
1,135,153.9302326,52,1003
1,135,228.9302326,60,1003
1,135,124.8604651,39,1003
1,135,60.61109123,17,1003
1,135,994.3953488,37,1003
1,135,794.8604651,15,1003
1,135,1119.395349,51,1003
1,135,874.8604651,14,1003
1,135,49.38962433,25,1003
1,135,96.90805009,45,1003
1,135,209.8604651,67,1003
1,135,98.93023256,13,1003
1,135,64.05724508,32,1003
1,135,684.8604651,79,1003
1,135,744.3953488,24,1003
1,135,444.3953488,33,1003
1,135,1505.790698,75,1003
1,135,1359.395349,31,1003
1,135,169.3953488,13,1003
1,135,144.3953488,74,1003
1,135,0,68,1003
1,135,474.8604651,12,1003
1,135,434.8604651,27,1003
1,135,211.3488372,38,1003
1,135,1179.395349,49,1003
1,135,734.8604651,67,1003
1,135,713.9302326,65,1003
1,135,52.11878354,58,1003
1,135,529.3953488,2,1003
1,135,13.17781753,10,1003
1,135,564.8604651,60,1003
1,135,534.3953488,6,1003
1,135,613.9302326,79,1003
1,135,28.82075134,49,1003
1,135,1009.860465,30,1003
1,135,12.63470483,17,1003
1,135,898.9302326,79,1003
1,135,1379.860465,23,1003
1,135,989.3953488,36,1003
1,135,52.77280859,63,1003
1,135,264.3953488,32,1003
1,135,39.27084079,35,1003
1,135,1689.395349,2,1003
1,135,28.54168157,44,1003
1,135,749.3953488,26,1003
1,135,703.9302326,61,1003
1,135,654.3953488,46,1003
1,135,163.9302326,55,1003
1,135,38.02576029,59,1003
1,135,1504.395349,2,1003
1,135,52.64830054,35,1003
1,135,0,10,1003
1,135,49.64007156,75,1003
1,135,0,80,1003
1,135,1254.395349,21,1003
1,135,1429.860465,58,1003
1,135,459.8604651,79,1003
1,135,1635.015027,49,1003
1,135,423.9302326,60,1003
1,135,12.30912343,24,1003
1,135,11.11484794,3,1003
1,135,1114.395349,76,1003
1,135,724.8604651,15,1003
1,135,174.3953488,18,1003
1,135,12.44865832,66,1003
1,135,15.31735242,80,1003
1,135,1687.139535,49,1003
1,135,893.3173524,15,1003
1,135,88.93023256,1,1003
1,135,733.9302326,52,1003
1,135,683.9302326,54,1003
1,135,1354.395349,72,1003
1,135,644.8604651,8,1003
1,135,989.8604651,22,1003
1,135,49.23649374,21,1003
1,135,844.3953488,36,1003
1,135,70.73989267,42,1003
1,135,599.3953488,41,1003
1,135,873.9302326,69,1003
1,135,759.3953488,29,1003
1,135,1539.395349,75,1003
1,135,779.8604651,6,1003
1,135,1204.395349,54,1003
1,135,669.8604651,73,1003
1,135,880.2940966,11,1003
1,135,26.15456172,78,1003
1,135,589.3953488,52,1003
1,135,1234.395349,68,1003
1,135,0,76,1003
1,135,903.9302326,61,1003
1,135,394.8604651,46,1003
1,135,824.3953488,27,1003
1,135,0,59,1003
1,135,814.3953488,24,1003
1,135,173.9302326,59,1003
1,135,819.8604651,76,1003
1,135,1499.395349,41,1003
1,135,143.9302326,53,1003
1,135,54.63184258,11,1003
1,135,38.83577818,21,1003
1,135,63.89838998,10,1003
1,135,194.8604651,61,1003
1,135,708.9302326,64,1003
1,135,44.55384615,55,1003
1,135,1269.395349,28,1003
1,135,1099.860465,47,1003
1,135,1025.735957,29,1003
1,135,529.3953488,54,1003
1,135,319.3953488,42,1003
1,135,11.02182469,57,1003
1,135,1129.395349,55,1003
1,135,259.8604651,76,1003
1,135,874.1860465,7,1003
1,135,1154.395349,76,1003
1,135,503.9302326,71,1003
1,135,1334.860465,60,1003
1,135,374.8604651,32,1003
1,135,418.9302326,58,1003
1,135,659.8604651,15,1003
1,135,1194.395349,60,1003
1,135,1024.860465,36,1003
1,135,27.48407871,20,1003
1,135,15.09982111,50,1003
1,135,1253.209302,50,1003
1,135,55.33237925,74,1003
1,135,229.3953488,79,1003
1,135,1654.395349,59,1003
1,135,789.8604651,12,1003
1,135,194.3953488,33,1003
1,135,1064.860465,19,1003
1,135,51.09838998,24,1003
1,135,939.3953488,33,1003
1,135,839.3953488,34,1003
1,135,374.3953488,29,1003
1,135,539.3953488,10,1003
1,135,972.6948122,26,1003
1,135,37.54418605,14,1003
1,135,1374.860465,49,1003
1,135,934.3953488,32,1003
1,135,433.9302326,64,1003
1,135,444.8604651,52,1003
1,135,49.21717352,14,1003
1,135,62.61395349,26,1003
