id,agv,initTime,assignTime,pickupTime,comepleteTime
29,24,0.0,0.05,1.15,8.15
21,20,0.0,0.05,1.15,9.0
28,22,0.0,0.05,1.15,9.0
7,33,0.0,0.05,1.15,10.55
8,25,0.0,0.05,1.15,11.3
35,39,0.0,0.05,1.15,13.15
17,40,0.0,0.05,1.15,14.8
25,47,0.0,0.05,1.15,15.15
9,43,0.0,0.05,1.2,16.4
18,44,0.0,0.05,1.15,17.2
20,49,0.0,0.05,1.2,17.3
15,42,0.0,0.05,1.7,18.45
23,48,0.0,0.05,1.7,18.85
32,54,0.0,0.05,1.15,19.3
2,57,0.0,0.05,1.15,19.85
4,52,0.0,0.05,1.15,20.45
0,62,0.0,0.05,1.2,22.65
3,66,0.0,0.05,1.15,22.9
16,75,0.0,0.05,1.2,23.25
10,63,0.0,0.05,1.15,23.3
59,18,14.17173524,14.2,15.3,23.85
24,71,0.0,0.05,1.15,23.9
30,65,0.0,0.05,1.7,24.1
19,67,0.0,0.05,1.15,24.65
67,21,15.45974955,15.5,17.2,24.95
36,72,0.0,0.05,1.75,25.2
58,24,14.16744186,14.2,16.1,25.4
26,78,0.0,0.05,1.15,25.45
27,70,0.0,0.05,1.7,25.7
1,64,0.0,0.05,1.2,25.75
79,22,16.85867621,16.9,19.65,25.95
11,82,0.0,0.05,1.4,26.0
14,79,0.0,0.05,1.65,27.1
56,38,14.12379249,14.15,16.0,28.3
34,73,0.0,0.05,1.15,28.7
33,83,0.0,0.05,1.9,29.2
31,74,0.0,0.05,1.7,30.55
72,32,16.07298748,16.1,18.4,31.75
22,81,0.0,0.05,3.4,31.9
40,84,11.67012522,11.7,13.7,32.85
48,55,13.21717352,13.25,14.35,33.2
5,69,0.0,0.05,1.2,33.65
78,28,16.85008945,16.9,21.15,34.05
92,17,27.39749553,27.4,28.7,34.75
12,80,0.0,0.05,1.2,35.1
38,76,0.0,0.05,3.6,35.15
41,59,11.69874776,11.7,15.5,35.7
44,86,12.10232558,12.15,15.25,35.85
13,68,0.0,0.05,1.15,35.9
63,36,14.95813953,15.0,17.3,35.95
91,23,26.83220036,26.85,28.75,36.25
43,85,12.0,12.05,14.65,36.45
51,51,13.66583184,13.7,15.8,36.5
74,34,16.27191413,16.3,17.7,37.1
94,54,27.8332737,27.85,29.25,37.3
53,90,13.75527728,13.8,17.65,37.5
37,77,0.0,0.05,1.8,38.0
39,60,0.0,0.05,4.65,38.85
52,50,13.73023256,13.75,16.85,39.15
46,88,12.60465116,12.65,15.55,39.3
45,87,12.49516995,12.5,16.5,39.7
57,45,14.16529517,14.2,19.5,40.0
6,61,0.0,0.05,1.7,40.15
54,91,13.78676208,13.8,17.85,40.9
55,46,14.0529517,14.1,17.65,42.15
61,37,14.54955277,14.55,21.65,42.2
60,41,14.30053667,14.35,18.75,42.85
47,56,12.61681574,12.65,18.25,42.85
42,58,11.85474061,11.9,14.5,43.6
104,16,29.52200358,29.55,34.7,43.65
71,98,15.90840787,15.95,25.2,44.05
64,93,15.39892665,15.4,21.9,44.25
66,95,15.44400716,15.45,24.2,44.35
